server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,port_seq
s221,37wanwan_s5,10.6.8.234,data/xy/shengbei_s221_9221,shengbei_lianyun_s221,10.6.1.83,37wanwan,3306,32114,42.62.50.149,running,5
s222,1377_s25,10.6.7.234,data/xy/shengbei_s222_9222,shengbei_lianyun_s222,10.6.8.220,1377,3306,32214,42.62.56.214,running,2
s223,91wan_s10,10.6.5.114,data/xy/shengbei_s223_9223,shengbei_lianyun_s223,10.6.5.191,91wan,3306,32314,42.62.14.88,running,7
s224,360_s41,10.6.7.170,data/xy/shengbei_s224_9224,shengbei_lianyun_s224,10.6.8.122,360,3306,32414,42.62.62.80,running,9
s228,5664wan_s11,10.6.6.10,data/xy/shengbei_s228_9228,shengbei_lianyun_s228,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,4
s229,5664wan_s12,10.6.6.10,data/xy/shengbei_s229_9229,shengbei_lianyun_s229,10.6.3.39,5664wan,3306,32914,42.62.56.209,running,5
s230,5664wan_s13,10.6.6.10,data/xy/shengbei_s230_9230,shengbei_lianyun_s230,10.6.3.39,5664wan,3306,32914,42.62.56.209,running,6
s231,5664wan_s14,10.6.6.10,data/xy/shengbei_s231_9231,shengbei_lianyun_s231,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,7
s232,5664wan_s15,10.6.6.10,data/xy/shengbei_s232_9232,shengbei_lianyun_s232,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,8
s234,0356wan_s2,10.6.1.121,data/xy/shengbei_s234_9234,shengbei_lianyun_s234,10.6.3.39,0356wan,3306,33414,42.62.56.250,running,4
s235,9166wan_s1,10.6.1.121,data/xy/shengbei_s235_9235,shengbei_lianyun_s235,10.6.3.95,0356wan,3306,33514,42.62.56.250,running,5
s256,zhigame_s3,10.6.5.81,data/xy/shengbei_s256_9256,shengbei_lianyun_s256,10.6.2.83,zhigame,3306,35614,42.62.62.92,running,5
s257,dahei_s2,10.6.5.172,data/xy/shengbei_s257_9257,shengbei_lianyun_s257,10.6.5.59,dahei,3306,32014,42.62.56.196,running,6
s258,1377_s26,10.6.7.234,data/xy/shengbei_s258_9258,shengbei_lianyun_s258,10.6.8.220,1377,3306,32214,42.62.56.214,running,3
s259,91wan_s11,10.6.5.114,data/xy/shengbei_s259_9259,shengbei_lianyun_s259,10.6.5.191,91wan,3306,32314,42.62.14.88,running,8
s260,5664wan_s16,10.6.6.10,data/xy/shengbei_s260_9260,shengbei_lianyun_s260,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,9
s261,360_s42,10.6.7.170,data/xy/shengbei_s261_9261,shengbei_lianyun_s261,10.6.8.122,360,3306,32414,42.62.62.80,running,1
s262,1717in_s2,10.6.8.97,data/xy/shengbei_s262_9262,shengbei_lianyun_s262,10.6.3.39,1717in,3306,36214,42.62.56.145,running,4
